suite,plan_num,oracle_applicable,oracle_passed,tcsp_score,failed_oracles
bakery_1,1,2,1,0.5,O5_final_cols_produced
bakery_1,2,2,1,0.5,O5_final_cols_produced
bakery_1,3,2,1,0.5,O5_final_cols_produced
bakery_1,4,2,1,0.5,O5_final_cols_produced
bakery_1,5,4,2,0.5,"O5_final_cols_produced,O8_non_empty_for_list"
bakery_1,6,4,2,0.5,"O5_final_cols_produced,O8_non_empty_for_list"
bakery_1,7,5,4,0.8,O5_final_cols_produced
bakery_1,8,5,4,0.8,O5_final_cols_produced
bakery_1,9,5,3,0.6,"O5_final_cols_produced,O8_non_empty_for_list"
bakery_1,10,5,3,0.6,"O5_final_cols_produced,O8_non_empty_for_list"
bakery_1,13,5,1,0.2,"O5_final_cols_produced,O6_aggregation_declared_ok,O7_result_shape_for_agg,O9_numeric_type_for_agg"
bakery_1,14,3,2,0.6667,O5_final_cols_produced
bakery_1,15,2,1,0.5,O5_final_cols_produced
bakery_1,16,6,0,0.0,"O2_list_no_agg,O5_final_cols_produced,O6_aggregation_declared_ok,O7_result_shape_for_agg,O8_non_empty_for_list,O9_numeric_type_for_agg"
bakery_1,17,4,2,0.5,"O5_final_cols_produced,O6_aggregation_declared_ok"
bakery_1,18,4,2,0.5,"O5_final_cols_produced,O6_aggregation_declared_ok"
bakery_1,19,4,3,0.75,O5_final_cols_produced
bakery_1,20,4,2,0.5,"O5_final_cols_produced,O8_non_empty_for_list"
bakery_1,21,5,3,0.6,"O5_final_cols_produced,O10_distinct"
bakery_1,22,5,4,0.8,O10_distinct
bakery_1,23,2,2,1.0,
bakery_1,24,2,2,1.0,
bakery_1,25,4,3,0.75,O8_non_empty_for_list
bakery_1,26,4,3,0.75,O8_non_empty_for_list
bakery_1,27,4,3,0.75,O8_non_empty_for_list
bakery_1,28,4,3,0.75,O8_non_empty_for_list
bakery_1,29,2,2,1.0,
bakery_1,30,2,2,1.0,
bakery_1,31,2,2,1.0,
bakery_1,33,4,3,0.75,O7_result_shape_for_agg
